shipment_no,log,current_status
C1769925,"[['PA - In Transit', '2024-10-14 10:32:54', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769915,"[['PA - In Transit', '2024-10-14 10:32:54', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769905,"[['PA - In Transit', '2024-10-14 10:32:54', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769881,"[['PA - In Transit', '2024-10-14 10:32:54', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769880,"[['PA - In Transit', '2024-10-14 10:32:54', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769867,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769866,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769850,"[['PA - In Transit', '2024-10-14 10:32:54', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769834,"[['PA - In Transit', '2024-10-14 10:32:54', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769846,"[['PA - In Transit', '2024-10-14 10:32:54', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769838,"[['PA - In Transit', '2024-10-14 10:32:54', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769831,"[['PA - In Transit', '2024-10-14 10:32:54', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769816,"[['PA - In Transit', '2024-10-14 10:32:54', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769802,"[['PA - In Transit', '2024-10-14 10:32:54', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635987,"[['PA - In Transit', '2024-10-14 10:32:54', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635983,"[['PA - In Transit', '2024-10-14 10:32:54', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635986,"[['PA - In Transit', '2024-10-14 10:32:54', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635985,"[['PA - In Transit', '2024-10-14 10:32:54', 'Admin'], ['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635984,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635982,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635981,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635978,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635979,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635976,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635974,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635973,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635972,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769777,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635950,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635948,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
N1635945,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
C1769776,"[['PA - In Transit', '2024-10-14 16:30:45', 'sql']]",PA - In Transit
