Shipment_number,Tag
N1602166,Priority
N1602466,Priority
N1599382,Priority
N1602000,Priority
N1611288,Priority
N1570682,Priority
N1574171,Priority
N1574923,Priority
N1575262,Priority
N1571648,Priority
N1575804,Priority
N1579679,Priority
N1582113,Priority
N1582702,Priority
Z299713,Priority
N1585939,Priority
N1583282,Priority
N1591627,Priority
N1590259,Priority
N1593348,Priority
N1593827,Priority
N1593621,Priority
N1598024,Priority
N1599660,Priority
N1602100,Priority
N1602166,Priority
N1602466,Priority
N1599382,Priority
N1602000,Priority
N1611288,Priority
N1570682,Priority
N1574171,Priority
N1574923,Priority
N1575262,Priority
N1571648,Priority
N1575804,Priority
N1579679,Priority
N1582113,Priority
N1582702,Priority
Z299713,Priority
N1585939,Priority
N1583282,Priority
N1591627,Priority
N1590259,Priority
N1593348,Priority
N1593827,Priority
N1593621,Priority
N1598024,Priority
N1599660,Priority
N1602100,Priority
N1602166,Priority
N1602466,Priority
N1599382,Priority
N1602000,Priority
N1611288,Priority
N1570682,Priority
N1574171,Priority
N1574923,Priority
N1575262,Priority
N1571648,Priority
N1575804,Priority
N1579679,Priority
N1582113,Priority
N1582702,Priority
Z299713,Priority
N1585939,Priority
N1583282,Priority
N1591627,Priority
N1590259,Priority
N1593348,Priority
N1593827,Priority
N1593621,Priority
N1598024,Priority
N1599660,Priority
N1602100,Priority
N1602166,Priority
N1602466,Priority
N1599382,Priority
N1602000,Priority
N1611288,Priority
N1570682,Priority
N1574171,Priority
N1574923,Priority
N1575262,Priority
N1571648,Priority
N1575804,Priority
N1579679,Priority
N1582113,Priority
N1582702,Priority
Z299713,Priority
N1585939,Priority
N1583282,Priority
N1591627,Priority
N1590259,Priority
N1593348,Priority
N1593827,Priority
N1593621,Priority
N1598024,Priority
N1599660,Priority
N1602100,Priority
N1602166,Priority
N1602466,Priority
N1599382,Priority
N1602000,Priority
N1611288,Priority
N1570682,Priority
N1574171,Priority
N1574923,Priority
N1575262,Priority
N1571648,Priority
N1575804,Priority
N1579679,Priority
N1582113,Priority
N1582702,Priority
Z299713,Priority
N1585939,Priority
N1583282,Priority
N1591627,Priority
N1590259,Priority
N1593348,Priority
N1593827,Priority
N1593621,Priority
N1598024,Priority
N1599660,Priority
N1602100,Priority
N1602166,Priority
N1602466,Priority
N1463811,Priority
N1465809,Priority
N1466335,Priority
N1466882,Priority
N1466883,Priority
N1467743,Priority
N1467754,Priority
N1468356,Priority
N1469203,Priority
N1469169,Priority
N1470033,Priority
N1471404,Priority
N1474354,Priority
N1474839,Priority
N1475244,Priority
N1475778,Priority
N1476061,Priority
N1478572,Priority
N1478832,Priority
N1480441,Priority
N1480662,Priority
N1480554,Priority
N1480584,Priority
N1481018,Priority
N1481033,Priority
N1617433,Priority
Z308025,Priority
N1620278,Priority
N1615611,Priority
N1616494,Priority
N1617350,Priority
Z308234,Priority
Z308226,Priority
N1621305,Priority
N1621871,Priority
N1612691,Priority
N1621297,Priority
N1619936,Priority
N1614530,Priority
N1616736,Priority
Z308365,Priority
N1613385,Priority
N1615400,Priority
N1616857,Priority
N1617531,Priority
N1615719,Priority
N1615254,Priority
N1614995,Priority
N1617533,Priority
N1617771,Priority
N1599382,Priority
N1602000,Priority
N1611288,Priority
N1598024,Priority
N1599660,Priority
N1602100,Priority
N1602166,Priority
N1602466,Priority
N1604067,Priority
N1603847,Priority
N1603013,Priority
N1603532,Priority
N1602458,Priority
Z306200,Priority
N1610663,Priority
N1610989,Priority
N1610876,Priority
N1606345,Priority
N1603504,Priority
N1597387,Priority
N1598284,Priority
N1604512,Priority
N1603241,Priority
Z304687,Priority
N1603393,Priority
N1599382,Priority
N1602000,Priority
N1611288,Priority
N1598024,Priority
N1599660,Priority
N1602100,Priority
N1602166,Priority
N1602466,Priority
N1604067,Priority
N1603847,Priority
N1603013,Priority
N1603532,Priority
N1602458,Priority
Z306200,Priority
N1610663,Priority
N1610989,Priority
N1610876,Priority
N1606345,Priority
N1603504,Priority
N1597387,Priority
N1598284,Priority
N1604512,Priority
N1603241,Priority
Z304687,Priority
N1603393,Priority
N1599382,Priority
N1602000,Priority
N1611288,Priority
N1598024,Priority
